STT,NameGroup,ArrivalDate,DeptDate,Status,CompanyTA,MarketSegment,Source,RateCode,ArrivalCarrier,ArrivalTime,DeptCarrier,DeptTime,BookedRmType1,NumOfRoomType1,NumberOfGuests1,BookedRmType2,NumOfRoomType2,NumberOfGuests2,Note
29,China0367-0910 2xx/5x,09/10/2025,11/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
30,China0367-1010 2xx/5x,10/10/2025,12/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
31,China6089-1010 2xx/5x,10/10/2025,12/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
32,Aeroflot 1110-6xx/4x,11/10/2025,16/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
33,China6089-1110 2xx/5x,11/10/2025,13/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
34,China0367-1110 2xx/5x,11/10/2025,13/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
35,China6089-1210 2xx/5x,12/10/2025,14/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
36,China0367-1210 2xx/5x,12/10/2025,14/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
37,China6089-1310 2xx/5x,13/10/2025,15/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
38,China0367-1310 2xx/5x,13/10/2025,15/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
39,China6089-1410 2xx/5x,14/10/2025,16/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
40,China0367-1410 2xx/5x,14/10/2025,16/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
41,China6089-1510 2xx/5x,15/10/2025,17/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
42,China0367-1510 2xx/5x,15/10/2025,17/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
43,China0367-1610 2xx/5x,16/10/2025,18/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
44,China6089-1610 2xx/5x,16/10/2025,18/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
45,Aeroflot 1610-6xx/4x,16/10/2025,18/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
46,China0367-1710 2xx/5x,17/10/2025,19/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
47,China6089-1710 2xx/5x,17/10/2025,19/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
48,VIETEX 1710-3xxx/17xx,17/10/2025,19/10/2025,Tentative,GPS-CONG TY TNHH DU LICH VA THUONG MAI TRAI NGHIEM VIET,LGA,TAL,GLGRPAAA,,,,,,,,,,,"17 Superior double + 03 tripple (DBL + EXTRA BED)
VND 1.875.000 Nett/room/night (including tax and service charge)
Extra bed: VND 867.510/pax
Ms Helen / Ms Zoe: 0961 264 196
Email: booking@vietexperiencestravel.com"
49,China6089-1810 2xx/5x,18/10/2025,20/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
50,China0367-1810 2xx/5x,18/10/2025,20/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
51,Aeroflot 1810-6xx/4x,18/10/2025,23/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
52,China6089-1910 2xx/5x,19/10/2025,21/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
53,China0367-1910 2xx/5x,19/10/2025,21/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
54,China6089-2010 2xx/5x,20/10/2025,22/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
55,China0367-2010 2xx/5x,20/10/2025,22/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
56,China0367-2110 2xx/5x,21/10/2025,23/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
57,China6089-2110 2xx/5x,21/10/2025,23/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
59,China0367-2210 2xx/5x,22/10/2025,24/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
60,VIETEXP 2210-3xxx/17xx,22/10/2025,25/10/2025,Tentative,GPS-CONG TY TNHH DU LICH VA THUONG MAI TRAI NGHIEM VIET,LGA,TAL,GLGRPAAA,,,,,ST,3,9,ST,17,34,"17 Superior double + 03 tripple (DBL + EXTRA BED)
VND 1.875.000 Nett/room/night (including tax and service charge)
Extra bed: VND 867.510/pax
Ms Helen / Ms Zoe: 0961 264 196
Email: booking@vietexperiencestravel.com"
61,China6089-2210 2xx/5x,22/10/2025,24/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
63,China0367-2310 2xx/5x,23/10/2025,25/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
64,VIETEXP 2310-1xxx/17xx,23/10/2025,25/10/2025,Tentative,GPS-CONG TY TNHH DU LICH VA THUONG MAI TRAI NGHIEM VIET,LGA,TAL,GLGRPAAA,,,,,ST,1,3,ST,17,34,"17 Superior double + 03 tripple (DBL + EXTRA BED)
VND 1.875.000 Nett/room/night (including tax and service charge)
Extra bed: VND 867.510/pax
Ms Helen / Ms Zoe: 0961 264 196
Email: booking@vietexperiencestravel.com"
65,Aeroflot 2310-6xx/4x,23/10/2025,25/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
66,China6089-2310 2xx/5x,23/10/2025,25/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
67,China6089-2410 2xx/5x,24/10/2025,26/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
68,China0367-2410 2xx/5x,24/10/2025,26/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
69,China6089-2510 2xx/5x,25/10/2025,27/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
70,China0367-2510 2xx/5x,25/10/2025,27/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
71,Aeroflot 2510-6xx/4x,25/10/2025,30/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
72,China6089-2610 2xx/5x,26/10/2025,28/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
73,China0367-2610 2xx/5x,26/10/2025,28/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
74,China6089-2710 2xx/5x,27/10/2025,29/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
75,China0367-2710 2xx/5x,27/10/2025,29/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
76,China0367-2810 2xx/5x,28/10/2025,30/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
77,China6089-2810 2xx/5x,28/10/2025,30/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
78,China6089-2910 2xx/5x,29/10/2025,31/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
79,China0367-2910 2xx/5x,29/10/2025,31/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
80,China0367-3010 2xx/5x,30/10/2025,01/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
81,VIETEXP 3010-3xxx/13xx,30/10/2025,31/07/2025,Tentative,GPS-CONG TY TNHH DU LICH VA THUONG MAI TRAI NGHIEM VIET,LGA,TAL,GLGRPAAA,,,,,ST,3,9,ST,13,26,"17 Superior double + 03 tripple (DBL + EXTRA BED)
VND 1.875.000 Nett/room/night (including tax and service charge)
Extra bed: VND 867.510/pax
Ms Helen / Ms Zoe: 0961 264 196
Email: booking@vietexperiencestravel.com"
82,Aeroflot 3010-6xx/4x,30/10/2025,01/11/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
83,China6089-3010 2xx/5x,30/10/2025,01/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
84,China0367-3110 2xx/5x,31/10/2025,02/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
85,China6089-3110 2xx/5x,31/10/2025,02/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
86,China6089-0111 2xx/5x,01/11/2025,03/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
87,Aeroflot 0111-6xx/4x,01/11/2025,06/11/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
88,China0367-0111 2xx/5x,01/11/2025,03/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
90,China6089-0211 2xx/5x,02/11/2025,04/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
91,China0367-0211 2xx/5x,02/11/2025,04/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
92,China0367-0311 2xx/5x,03/11/2025,05/11/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
